Stop ID,Stop Name,Stop Latitude,Stop Longitude
69,Podu Roș (2),47.15030367,27.58861382
70,Bis. Lipovenească,47.15262542,27.58689803
71,C.T.P. - Secția nr. 1,47.15397,27.6028
72,Sala Polivalentă,47.15384709,27.58717431
73,Podu Roș (3),47.14976214,27.58595917
74,Pod Nicolina,47.14271786,27.58029878
75,Tudor Neculai,47.13921645,27.57835022
76,Biserica Înălțarea Domnului,47.12851136,27.56866807
77,Tehnopolis,47.12509431,27.5672372
78,Carrefour ERA,47.16739,27.51385
79,Brico Depot ERA,47.17006382,27.51283866
80,Popas Păcurari,47.1724089,27.52018607
81,Ideo,47.17258089,27.52364856
82,Pasaj Nicolina,47.14473479,27.58132206
83,Spitalul de Recuperare,47.15002883,27.57455355
84,Mircea cel Bătrân,47.15608732,27.57042393
85,Piața Alexandru cel Bun,47.16026999,27.57072184
86,Piața Alexandru cel Bun II,47.16196497,27.56960285
87,Minerva,47.16329843,27.56461304
88,Zimbru,47.16667032,27.55548744
89,Bicaz,47.16679,27.55001
90,Columnei,47.16664993,27.54444591
91,Dacia,47.16882472,27.5408178
92,Familial,47.1618644,27.56712555
93,C.E.T.,47.14796,27.60216
94,Piața Ing. Virgil Săhleanu,47.14560146,27.61883766
95,C.F.S. II,47.14794008,27.62023163
96,Blocuri Metalurgie,47.1529303,27.62208143
97,Tătărași Nord,47.16136752,27.60901943
98,Aeroport,47.17652997,27.61748512
99,Țuțora,47.14334593,27.64348871
100,Tehnoton,47.14327515,27.63578121
101,Fabrica de Ulei,47.14406312,27.62969582
102,Breazu,47.2095358,27.53157064
103,Stațiunea Viticolă,47.20277829,27.534626
104,Seminarul Teologic,47.20091668,27.53771906
105,Moldomobila,47.14484941,27.60635197
106,Liceul de Construcții,47.1430695,27.60253275
107,Vama II,47.11949679,27.56445998
108,Somaco,47.14346916,27.6500505
109,Boromir,47.14185697,27.65831378
110,Caretta,47.13848954,27.66699587
111,Vinia,47.13596595,27.67333853
112,Facultativa,47.13449183,27.68308244
113,Blocuri Tomești,47.13254732,27.69102403
114,Tomești,47.13076329,27.69811796
115,Twinkle Star,47.16455063,27.56568241
116,Policlinica Recuperare,47.15185347,27.57244495
117,Frumoasa,47.13951014,27.58520344
118,Clopotari,47.13640522,27.58158378
119,Piața C.U.G.,47.13477417,27.57737842
120,Piața Dacia,47.16945389,27.54981038
121,Spitalul Sf. Maria,47.16012,27.60947
122,Cimitirul Evreiesc,47.17470124,27.54422338
123,Gara Socola,47.13839593,27.60625206
124,Rond Țuțora,47.14342,27.64338
125,Școala Ion Ghica,47.15211436,27.59860017
126,Vamă,47.14709112,27.582039
127,Liceul Agricol,47.19862824,27.5448744
128,Liceul Pedagogic,47.19969782,27.54175231
129,Muzeul Mihail Sadoveanu,47.1959979,27.55414613
130,Piața Sf. Anton de Padova,47.16815216,27.5583883
131,Str. Podgoriilor,47.19733955,27.55084366
132,Antibiotice,47.17734056,27.48900063
133,Str. 1 Decembrie V.Lupului,47.17386523,27.50669785
134,Dedeman,47.18067264,27.47427195
135,Troița V.Lupului,47.17519509,27.4988383
136,Str. Conductelor,47.16453204,27.59615153
137,METRO,47.18126696,27.46890753
138,Cimitirul Sf. Petru și Pavel,47.17306523,27.59897254
139,Telegondola 1,47.17849415,27.59806998
140,Telegondola 2,47.18108487,27.60285035
141,Ciric,47.17679,27.60734
142,Spital Pascanu,47.16752,27.60001
143,Sfântul Lazăr,47.1556,27.59036
144,Spital Pașcanu,47.16712,27.59835
145,Complex Roua Residence,47.18019,27.59798
146,Str. Locotenent Popovici,47.15714,27.62734
147,Str. Aviației,47.15897,27.63014
148,Str. Moților,47.16057,27.63022
149,Str. Mistrețului,47.16216,27.63048
150,Str. Aeroportului,47.161989,27.62645
151,Str. A. Obreja,47.1602,27.62661
152,Sos. Voinești,47.144513,27.568845
153,Centrul Maternal Maternus,47.147969,27.561951
154,Complex Sun City,47.145841,27.549494
155,Str. Viilor,47.145117,27.539313
156,Str. Moara de Vânt,47.17583,27.59816
157,Piata Independentei,47.1691,27.57802
158,Complex Class Residence,47.14691,27.556
159,Garaj,47.1522,27.60333
160,Depou D,47.17102,27.53593
161,Depou G,47.16406,27.57268
162,Colegiul Economic Administrativ,47.166642,27.589745
163,Str. Mihai Eminescu,47.168997,27.588197
164,Str. Nicolae Bălcescu,47.172812,27.583941
165,Bojdeuca Ion Creangă,47.174474,27.581932
166,Centrul Rezidențial pentru Mame și Copii,47.176618,27.579182
167,Str. Lascăr Catargi,47.178781,27.575445
168,Str. Mihai Costăchescu,47.18311,27.570283
169,Exclusive Residence,47.186037,27.567398
170,Târgușor Copou,47.188241,27.565273
171,Str. Caprelor,47.192518,27.562622
172,Str. Ursulea,47.203416,27.552342
173,Pod Cacaina,47.2036,27.55791
174,Bd. Chimiei (staţie temporară),47.15089,27.6329
175,Citadin,47.15943,27.60053
176,Dancu - Capat,47.15217,27.65873
177,Pod Sf. Ioan,47.15218,27.64165
178,Bulevardul C.A.Rosetti,47.17494,27.58808
179,Cartierul Austriac,47.25545,27.46212
180,Str Mihai Eminescu,47.16908,27.58808
181,Str. Nicolaie Balcescu,47.17291,27.58379
182,Bojdeuca Ion Creanga,47.17453,27.58194
183,Centrul Rezidential pentru Mame si Copii,47.1767,27.57895
184,Str Lascar Catargi,47.17879,27.57542
185,str. Prof. Anton Nitu,47.14533,27.52606
186,Str. Cornelia Emilian,47.10725,27.63904
187,Str. Boiangiu,47.09972,27.64959
188,Str. Theodor Rosetti,47.09431,27.65107
189,Motel Bucium,47.09067,27.65008
190,Pod de Fier,47.16712735,27.59440362
191,Str Albinet,47.1756061,27.58767664
192,Test Office,47.26141,27.78013
193,Troita-Sorogari,47.19342,27.59592
194,Parc Sorogari,47.20135,27.58955
195,Baza Sportiva Sorogari,47.20397,27.58732
196,SPA Sorogari,47.20697,27.58049
197,Centru Batrani Sorogari,47.20429,27.58704
198,Troita Sorogari,47.19334,27.59584
199,Zen Residence,47.12977,27.60581
200,Gradinita Tineretului,47.09246857,27.55710488
201,Str. Digului,47.08127,27.55159
202,Dancas - DC 28,47.11616072,27.51752618
203,Podu Ros,47.15204,27.58637
204,Magazin Verne,47.18949,27.52359
205,La Spalatorie,47.19231,27.52159
206,Podu Ros (4),47.15205,27.58635
207,Ferma Liliac,47.11309,27.46098
