Stop ID, Stop Name, Stop Latitude, Stop Longitude
69, Petru Poni, 47.17355456, 27.55843357
70, Moara 1 Mai, 47.17452737, 27.55045548
72, OMV Păcurari, 47.17352493, 27.53737539
73, Păcurari, 47.17308338, 27.53370944
75, Blocuri Dancu, 47.15238728, 27.65500939
76, Rond vechi Dancu, 47.15293514, 27.64847761
77, Hotel Amadeo, 47.15265046, 27.64285556
78, Phoenix, 47.15191646, 27.63644072
79, I.P.A., 47.15377262, 27.63258904
80, Tătărași Sud, 47.15622, 27.62392
81, Flora, 47.15865629, 27.62066686
82, Dr. Savini, 47.15986589, 27.61464086
84, Pădurii, 47.16315933, 27.59774709
85, Voința, 47.16786484, 27.57301583
86, Str. Bacinschi, 47.16825281, 27.56849347
87, Gară, 47.16629, 27.57052
88, I.P.A., 47.154274, 27.63131116
89, Phoenix, 47.15202, 27.6361
90, Hotel Amadeo, 47.15233764, 27.64185524
91, Rond vechi Dancu, 47.15300937, 27.64853734
94, Canta, 47.17238, 27.53737
95, Sergent Grigore Ioan, 47.17321321, 27.54526171
96, Moara 1 Mai, 47.17347616, 27.55007867
97, Octav Bancilă, 47.17094426, 27.56152999
98, Str. Bacinschi, 47.16744364, 27.56833568
99, Gară, 47.16584611, 27.571051
100, Pasaj Alexandru cel Bun, 47.16143, 27.57312
101, Podul de Piatră, 47.15655732, 27.57417443
102, Gara Internațională, 47.14996091, 27.57759371
103, Bazar, 47.13404182, 27.58037378
104, Piața Nicolina, 47.14644895, 27.5907438
105, Pleiada, 47.13455, 27.61028
106, Spitalul nr. 7, 47.13051324, 27.6140734
107, Centrofarm, 47.12752912, 27.61642474
108, Hanul Trei Sarmale, 47.12384327, 27.62217884
109, Școala Generală nr. 2, 47.1213336, 27.62516737
110, Plopii fără soț, 47.11901483, 27.62975425
111, Bucium, 47.11678873, 27.63191138
112, Bucium, 47.11659634, 27.63214052
113, Plopii fără soț, 47.11885285, 27.63012663
114, Școala Generală nr. 2, 47.12104116, 27.62584671
115, Hanul Trei Sarmale, 47.12447526, 27.62113675
116, Centrofarm, 47.12788005, 27.61622733
117, Spitalul nr. 7, 47.13055482, 27.61383918
118, Pleiada, 47.13529372, 27.60933593
119, Piața Nicolina, 47.14615413, 27.58943127
120, Bazar, 47.13406736, 27.5805182
121, Gara Internațională, 47.1490868, 27.57934079
122, Podul de Piatră, 47.15598884, 27.57414111
123, Pasaj ACB, 47.16127, 27.57337
124, Gară, 47.16547388, 27.57159892
125, Str. Bacinschi, 47.1674182, 27.56881191
126, Octav Bancilă, 47.17156855, 27.56017023
127, Moara 1 Mai, 47.17332884, 27.55304356
128, Sergent Grigore Ioan, 47.17326621, 27.54462642
129, Canta, 47.17231, 27.53783
130, Podul de Piatră, 47.15661781, 27.57603068
131, Pod Cantemir, 47.154003, 27.58375
132, Podu Roș (2), 47.15030367, 27.58861382
133, Liceul C.U.G., 47.13652899, 27.59486757
134, Podu Roș (2), 47.150466, 27.58814491
135, Bis. Lipovenească, 47.15262542, 27.58689803
136, Pod Cantemir, 47.153748, 27.582645
138, C.T.P. - Secția nr. 1, 47.15397, 27.6028
141, C.U.G. I, 47.13338039, 27.57205793
142, C.U.G. I, 47.13395563, 27.575497
145, C.T.P. - Secția nr. 1, 47.15384, 27.60351
146, Muzeul Municipal „Regina Maria“, 47.16136073, 27.5935289
147, Palatul Culturii, 47.15992259, 27.58883861
148, Sala Polivalentă, 47.15384709, 27.58717431
