from, to, travel_time
1, 1, 0.0
1, 2, 0.5382921490391925
1, 3, 0.7781128483516894
1, 4, 1.295795144672258
1, 5, 2.0121707992775013
1, 6, 2.7774498557658918
1, 7, 3.2510084721042043
1, 8, 3.5737378574402063
1, 9, 3.7781137731641876
1, 10, 3.82421741340196
1, 11, 4.20719464161864
1, 12, 4.70778164456461
1, 13, 5.370630235313954
1, 14, 5.744593656969187
1, 15, 6.249575864359457
1, 16, 6.410836855628322
1, 17, 6.59656655361843
1, 18, 6.853506495070421
1, 19, 6.6783229386858505
1, 20, 6.290797865625206
1, 21, 4.982966839563917
1, 22, 4.625411518011464
1, 23, 4.100454551862667
1, 24, 4.218394697589488
1, 25, 2.801644545486011
1, 26, 2.7133267922801183
1, 27, 2.409346027541446
1, 28, 1.8680089735761138
1, 29, 1.8778579613347468
1, 30, 2.3795638673367265
1, 31, 3.0304396186210267
1, 32, 4.835288347600953
1, 33, 5.093821447849611
1, 34, 5.52629726135114
1, 35, 6.31546073373674
1, 36, 6.885569123485198
1, 37, 6.7539026448711414
1, 38, 6.593106458142558
1, 39, 6.480889507830525
1, 40, 6.411526675614868
1, 41, 5.3800304504822805
1, 42, 2.6987027370045737
1, 43, 8.791725668921746
1, 44, 8.457373309161616
1, 45, 8.000717126802549
1, 46, 7.657855867786225
1, 47, 7.304231272467234
1, 48, 6.946621209698376
1, 49, 2.749136545418116
1, 50, 2.5892910464387318
1, 51, 2.844162570451902
1, 52, 2.5743750948505997
1, 53, 2.1693048446544645
1, 54, 2.1885653122151667
1, 55, 3.4191803957274476
1, 56, 3.9587956188540865
1, 57, 4.736248025706443
1, 58, 6.494659477061281
1, 59, 5.476244036220673
1, 60, 7.358362167701273
1, 61, 7.891481108098191
1, 62, 8.26728710371229
1, 63, 8.847687118470521
1, 64, 9.205314905280858
1, 65, 9.613032172877054
1, 66, 9.909735560193297
1, 67, 3.442178449625183
1, 68, 4.489058980146351
1, 69, 5.020877214954372
1, 70, 4.731817814271456
1, 71, 5.272631666766677
1, 72, 4.621120488236219
1, 73, 4.987198609279833
1, 74, 5.565884357932121
1, 75, 5.899249968670805
1, 76, 6.936899073109596
1, 77, 7.303882037845887
1, 78, 4.249388467101882
1, 79, 4.140151276054916
1, 80, 3.5326014270260937
1, 81, 3.308763679080991
1, 82, 5.376678738682582
1, 83, 4.66359698916543
1, 84, 3.9336566474488546
1, 85, 3.4887147505645904
1, 86, 3.2846507858820613
1, 87, 3.0618409493136465
1, 88, 2.661157956234395
1, 89, 2.7151692511419987
1, 90, 2.8590264813524673
1, 91, 2.7586131549783897
1, 92, 3.252480151868858
1, 93, 5.775344288781643
1, 94, 6.773400364926854
1, 95, 6.657877931771141
1, 96, 6.3807008156970415
1, 97, 5.018180491018032
1, 98, 4.7350352530227475
1, 99, 8.309420654545027
1, 100, 7.870053288762186
1, 101, 7.4719039034417225
1, 102, 2.937125881753442
1, 103, 2.263752013247862
1, 104, 1.9521783429144999
1, 105, 6.2412694513905995
1, 106, 6.243738018685173
1, 107, 7.908937103823276
1, 108, 8.692725657810751
1, 109, 9.303996612583765
1, 110, 10.057747868885158
1, 111, 10.612796092201298
1, 112, 11.316509270714407
1, 113, 11.939351585856702
1, 114, 12.499977475887691
1, 115, 2.9382958780786668
1, 116, 4.427175365931266
1, 117, 6.022081876806853
1, 118, 6.266020464922365
1, 119, 6.360994980236052
1, 120, 2.4324625493952627
1, 121, 5.134550054160249
1, 122, 2.0641023652588517
1, 123, 6.833773251146223
1, 124, 8.297826778170855
1, 125, 5.242315869262587
1, 126, 5.147965202829425
1, 127, 1.3695216035336149
1, 128, 1.6272403942511064
1, 129, 0.6919169256239103
1, 130, 2.4867395401912105
1, 131, 0.9537734835221362
1, 132, 5.466196943294537
1, 133, 4.339755716642403
1, 134, 6.475529412574928
1, 135, 4.831007529996819
1, 136, 4.06228112956609
1, 137, 6.866354940602633
1, 138, 3.6312337470593254
1, 139, 3.2850458327245557
1, 140, 3.522709353427673
1, 141, 4.005586495991723
1, 142, 4.055669231996199
1, 143, 4.573023875806187
1, 144, 3.987669915656656
1, 145, 3.206520502166935
1, 146, 6.404844639707112
1, 147, 6.466344595235795
1, 148, 6.376712238317366
1, 149, 6.303208145186519
1, 150, 6.050562040357531
1, 151, 6.1673831124978795
1, 152, 5.174805618085519
1, 153, 4.7378847721653115
1, 154, 5.0136536748165925
1, 155, 5.252658991354664
1, 156, 3.42237882866069
1, 157, 2.8043944295489323
1, 158, 4.85194844757365
1, 159, 5.450738437043849
1, 160, 2.7606871625900555
1, 161, 3.13242851863034
1, 162, 3.5586095400209734
1, 163, 3.286269118014094
1, 164, 2.756837681685712
1, 165, 2.518355697461804
1, 166, 2.202458263970542
1, 167, 1.8321038933839164
1, 168, 1.21609220279005
1, 169, 0.8397696663835498
1, 170, 0.5737894741557603
1, 171, 0.3845404025628466
1, 172, 1.507266090723134
1, 173, 1.4548061902322675
1, 174, 7.158484978559095
1, 175, 4.701933176243944
1, 176, 8.714400293754572
1, 177, 7.61086936979045
1, 178, 2.8343905994624112
1, 179, 10.265090706907737
1, 180, 3.2734702079087032
1, 181, 2.7410440049045346
1, 182, 2.5143775900878156
1, 183, 2.18354019228358
1, 184, 1.8300613207898424
1, 185, 5.59302391605423
1, 186, 11.092005651073501
1, 187, 12.233468041334545
1, 188, 12.79575219407243
1, 189, 13.096022715449303
1, 190, 3.76544737902295
1, 191, 2.7652136562636787
1, 192, 18.544631303073132
1, 193, 2.8555801371454717
1, 194, 2.6444094520281958
1, 195, 2.6479729915503003
1, 196, 2.4750900563991456
1, 197, 2.65086914839287
1, 198, 2.8485658666755405
1, 199, 7.648182342755867
1, 200, 10.901229621287094
1, 201, 12.156945985055417
1, 202, 8.830993690614307
1, 203, 4.77198889283533
1, 204, 2.6466501905437587
1, 205, 2.8027434895286927
1, 206, 4.770320401437281
1, 207, 11.34805922760521
2, 1, 0.5382921490391925
2, 2, 0.0
2, 3, 0.24013350345636814
2, 4, 0.7579187423785217
2, 5, 1.4744684124661511
2, 6, 2.240090958673094
2, 7, 2.712981626163205
2, 8, 3.03577350965787
2, 9, 3.245334055451245
2, 10, 3.301454720780851
2, 11, 3.6798298094221535
2, 12, 4.192046494963628
2, 13, 4.8610964696995485
2, 14, 5.241131977113318
2, 15, 5.7449468564486965
2, 16, 5.893059080207553
2, 17, 6.072140105436482
2, 18, 6.324407158439328
2, 19, 6.14738201968748
2, 20, 5.7561794743028845
2, 21, 4.447006373350338
2, 22, 4.0892280335620415
2, 23, 3.5622658785446815
2, 24, 3.684505453177339
2, 25, 2.2643818874556723
2, 26, 2.6436236974602987
2, 27, 2.298185146712156
2, 28, 1.5561500439882814
2, 29, 1.4471902221947968
2, 30, 1.8511629956231748
2, 31, 2.49224177510043
2, 32, 4.3054115743268175
2, 33, 4.562931355149357
2, 34, 4.990199197698233
2, 35, 5.777957718327881
2, 36, 6.347850598637869
2, 37, 6.217897008083413
2, 38, 6.062032602551241
2, 39, 5.9592415296993435
2, 40, 5.912319321779237
2, 41, 4.842012450523463
2, 42, 2.6314794111064392
2, 43, 8.318791427537773
2, 44, 7.981197785521773
2, 45, 7.518571166513467
2, 46, 7.16807449131519
2, 47, 6.804524332629695
2, 48, 6.4469219916154685
2, 49, 2.2197841522809285
2, 50, 2.077052372024622
2, 51, 2.32634066864744
2, 52, 2.4567561203859762
2, 53, 1.961289372777368
2, 54, 1.7260715181842872
2, 55, 2.8999961949273216
2, 56, 3.443149020952899
2, 57, 4.21913330857739
2, 58, 5.985657026983616
2, 59, 4.941757896001999
2, 60, 6.820118087840815
2, 61, 7.3532330729626425
2, 62, 7.729064432704673
2, 63, 8.309395775892847
2, 64, 8.66703232691603
2, 65, 9.074869723015002
2, 66, 9.371568458944468
2, 67, 2.9224303580490565
2, 68, 3.956343773877671
2, 69, 4.485821726858004
2, 70, 4.196766033421049
2, 71, 4.7382935508926405
2, 72, 4.085076544534976
2, 73, 4.455246271190704
2, 74, 5.049828597709862
2, 75, 5.390553265366326
2, 76, 6.4601680797885335
2, 77, 6.832321345448056
2, 78, 4.244008431275468
2, 79, 4.172339850074962
2, 80, 3.557397133308907
2, 81, 3.314646014890278
2, 82, 4.856677547690985
2, 83, 4.1545406557825375
2, 84, 3.431689318636373
2, 85, 2.9800218264813223
2, 86, 2.7781679250875757
2, 87, 2.5806787629780192
2, 88, 2.260770032384496
2, 89, 2.378470616328799
2, 90, 2.586983698774573
2, 91, 2.5510872080150913
2, 92, 2.7582587243035235
2, 93, 5.23740900763722
2, 94, 6.243132920410452
2, 95, 6.131718109729552
2, 96, 5.865394167763351
2, 97, 4.505464171763567
2, 98, 4.322488913898524
2, 99, 7.798873796272738
2, 100, 7.351802596740186
2, 101, 6.949109372915961
2, 102, 3.46714562525824
2, 103, 2.7757992813596055
2, 104, 2.463158954774844
2, 105, 5.703564803373236
2, 106, 5.705485093385079
2, 107, 7.446275754220052
2, 108, 8.189038220005617
2, 109, 8.80524243755869
2, 110, 9.560462093561766
2, 111, 10.116345489692629
2, 112, 10.825510826463319
2, 113, 11.451136092318833
2, 114, 12.013979949335885
2, 115, 2.448822909939009
2, 116, 3.9227387823610633
2, 117, 5.499730555078072
2, 118, 5.752730468064499
2, 119, 5.858029366026535
2, 120, 2.116142615010359
2, 121, 4.619025970545058
2, 122, 1.8965231703161487
2, 123, 6.295568584916317
2, 124, 7.787307499130992
2, 125, 4.7045775656978694
2, 126, 4.624373197232053
2, 127, 1.8931314837362387
2, 128, 2.145324393153596
2, 129, 1.2291985739783629
2, 130, 2.057397224970744
2, 131, 1.4910816061853411
2, 132, 5.651382785863351
2, 133, 4.444745291841805
2, 134, 6.706819065363472
2, 135, 4.974356224061258
2, 136, 3.5367748447592486
2, 137, 7.1059349957364
2, 138, 3.1502066532455766
2, 139, 2.848613631731921
2, 140, 3.1273406797072605
2, 141, 3.5755902346388786
2, 142, 3.5473352751862626
2, 143, 4.034844510147614
2, 144, 3.4742280756796515
2, 145, 2.7891030808600004
2, 146, 5.907674918318077
2, 147, 5.979262600253492
2, 148, 5.895552957496732
2, 149, 5.828690792540363
2, 150, 5.56905238190582
2, 151, 5.679340281529797
2, 152, 4.689348240971105
2, 153, 4.2793093118347345
2, 154, 4.619782294026462
2, 155, 4.916967414810228
2, 156, 2.9604542567242538
2, 157, 2.2662317331011326
2, 158, 4.423215573704908
2, 159, 4.9152895007142625
2, 160, 2.637658381424717
2, 161, 2.6105237449044405
2, 162, 3.027692513557423
2, 163, 2.7582601340129718
2, 164, 2.2317536682967107
2, 165, 1.994697274549292
2, 166, 1.680765683386446
2, 167, 1.3091915635312796
2, 168, 0.7072705752889503
2, 169, 0.38547380546024157
2, 170, 0.2971224373427258
2, 171, 0.6738107414002618
2, 172, 2.0319153510326156
2, 173, 1.9350094275469587
2, 174, 6.651907564627702
2, 175, 4.172290836864733
2, 176, 8.241729024329729
2, 177, 7.1182979648949765
2, 178, 2.3332355108308738
2, 179, 10.791709061152877
2, 180, 2.7454642412206858
2, 181, 2.215951690410489
2, 182, 1.9909952513857978
2, 183, 1.661487927932672
2, 184, 1.3071025137351262
2, 185, 5.3366116435921755
2, 186, 10.553730000914804
2, 187, 11.69534672110808
2, 188, 12.257468092291452
2, 189, 12.557806008480414
2, 190, 3.2439902333221515
2, 191, 2.2674693605808094
2, 192, 18.479402917253214
2, 193, 2.6592034639230393
2, 194, 2.643666514287441
2, 195, 2.7147559057022175
2, 196, 2.6624723979924325
2, 197, 2.7257671586743433
2, 198, 2.6508253672001536
2, 199, 7.112105542514609
2, 200, 10.456934437411027
2, 201, 11.722792029935109
2, 202, 8.522766516645548
2, 203, 4.237845669039756
2, 204, 2.9568265864570678
2, 205, 3.156793340527251
2, 206, 4.236190243253113
2, 207, 11.209034593807841
3, 1, 0.7781128483516894
3, 2, 0.24013350345636814
3, 3, 0.0
3, 4, 0.5178027555551347
3, 5, 1.2343413251248676
3, 6, 1.9999598305577044
3, 7, 2.4729442291675
3, 8, 2.7969230062225616
3, 9, 3.0112208794301636
3, 10, 3.0745125595629745
3, 11, 3.449502785561144
3, 12, 3.969091581252426
3, 13, 4.641567014714417
3, 14, 5.025002166999798
3, 15, 5.527880338176083
3, 16, 5.668131467315415
3, 17, 5.843062406207376
3, 18, 6.09228549887449
3, 19, 5.914049301466061
3, 20, 5.52025667053248
3, 21, 4.207048429648385
3, 22, 3.8492317488246637
3, 23, 3.322341910740255
3, 24, 3.44940635632487
3, 25, 2.0242557995583885
3, 26, 2.6327395337667214
3, 27, 2.2733078173165766
3, 28, 1.446446665289481
3, 29, 1.270603652106148
3, 30, 1.614403416959178
3, 31, 2.253001543292134
3, 32, 4.073122009888086
3, 33, 4.329871001401271
3, 34, 4.7502087336246035
